empties,exact,probe2,probe4,probe6,probe8,probe10,nprobe2,nprobe4,nprobe6,nprobe8,nprobe10
28,-6,-1.83,-2.08,-1.17,0.00,-1.38,-3.56,-1.16,-1.25,-3.27,-2.87
28,-6,-8.26,-10.81,-11.31,-9.17,-10.06,-6.67,-7.90,-8.14,-8.32,-8.41
28,4,0.60,1.47,0.98,-0.77,0.19,0.70,2.40,0.54,-0.30,0.80
28,-12,-7.14,-6.42,-6.36,-8.51,-10.37,-8.04,-5.87,-7.29,-10.66,-11.33
30,-4,-0.81,0.09,-2.21,-0.97,-1.57,-5.13,-2.49,-1.04,-0.97,-4.96
30,0,0.65,2.50,3.36,2.58,1.54,1.15,2.58,2.09,1.35,1.15
30,-4,-5.14,-5.28,-4.94,-3.95,-4.88,-6.00,-5.18,-3.52,-1.82,-3.22
30,0,2.32,0.77,-0.17,-1.06,1.52,5.34,2.50,1.64,0.79,1.14
30,14,18.56,18.93,16.33,18.11,17.65,22.15,21.13,19.43,20.46,21.88
30,-8,-4.93,-5.89,-6.32,-5.81,-6.66,-4.85,-5.28,-4.67,-5.39,-6.47
30,-8,-8.08,-10.40,-9.26,-8.77,-10.06,-7.78,-8.49,-8.45,-6.97,-10.19
30,-4,-2.42,-0.38,-0.78,-1.24,-2.01,-1.49,-1.83,-1.98,-3.08,-3.24
30,-2,-3.67,1.36,1.10,-1.32,-1.40,-0.75,1.78,0.50,-0.69,-1.65
30,6,-0.25,4.09,3.72,4.09,4.32,-0.69,1.64,3.71,2.94,3.28
